timestamp,decode_inflight,node_weights,service_rate,decode_latency,prefill_latency,error
1768194473.7985945,"{'1': 3, '0': 0}","{'0': 2.2018252853525238, '1': 0.8267745665376841}","{'0': 61.32935047370742, '1': 12.061553586676638}",0.14973950972592148,0.018845075422041092,
1768194478.2738836,"{'1': 13, '0': 34}","{'0': 2.1454558894085207, '1': 0.8439533181820071}","{'0': 63.22744222982307, '1': 15.4068487474628}",0.1761002479196903,0.1076921468730383,
1768194481.6609137,"{'1': 5, '0': 6}","{'0': 2.120455889408521, '1': 0.7939533181820071}","{'0': 61.765450134723245, '1': 14.39421760938132}",0.14915989967692675,0.021684875916302977,
1768194485.9349082,"{'1': 4, '0': 7}","{'0': 2.1735194541879888, '1': 0.7939533181820071}","{'0': 68.71919828900407, '1': 13.675249434853958}",0.3260122464931743,0.1490148907332768,
1768194489.252011,"{'1': 2, '0': 1}","{'0': 2.2235194541879886, '1': 0.7469073022938831}","{'0': 66.46491240318554, '1': 14.031456751269243}",0.14240554713438233,0.02036819797225603,
1768194493.710981,"{'1': 3, '0': 5}","{'0': 2.234987232161168, '1': 0.6995115595850141}","{'0': 60.383712634647814, '1': 10.190509596208315}",0.15053595137895176,0.0179260754478901,
1768194497.0344205,"{'1': 8, '0': 22}","{'0': 2.10258633491379, '1': 0.7150626923467073}","{'0': 43.01493966515294, '1': 13.447603943390856}",0.38592451037129133,0.39265975857064694,
1768194500.7283225,"{'1': 4, '0': 10}","{'0': 2.0525863349137903, '1': 0.7934495650849541}","{'0': 72.17812562595381, '1': 19.204879178212064}",0.1377788788132308,0.03864429012688875,
1768194504.0771408,"{'1': 7, '0': 5}","{'0': 2.0525863349137903, '1': 0.8155451542275183}","{'0': 60.990577139066176, '1': 13.56963659078665}",0.19837006926422052,0.1291400707571754,
1768194507.4740877,"{'1': 5, '0': 13}","{'0': 2.0069114501952625, '1': 0.7980336679083265}","{'0': 67.47229719779776, '1': 14.508093384854135}",0.2933218322068126,0.03546983902252721,
1768194511.6978676,"{'1': 4, '0': 11}","{'0': 2.0069114501952625, '1': 0.7780365894012689}","{'0': 69.37314794610164, '1': 12.724022587710845}",0.32938052692291464,0.0206556720798821,
1768194516.11619,"{'1': 3, '0': 8}","{'0': 1.9782488362826085, '1': 0.8280365894012689}","{'0': 64.60307749834587, '1': 15.225738390046006}",0.29198617196512,0.03072664083103817,
1768194519.4947627,"{'1': 3, '0': 1}","{'0': 2.000437144714833, '1': 0.8280365894012689}","{'0': 54.80508187062554, '1': 13.452212028555724}",0.1646410649666719,0.016981595450368703,
1768194523.964409,"{'1': 4, '0': 0}","{'0': 2.130071946817492, '1': 0.7967479797073093}","{'0': 65.7187707397544, '1': 14.494901353657745}",0.1928526497293932,0.04144009939377431,
1768194528.0915146,"{'1': 4, '0': 1}","{'0': 2.0978376764722593, '1': 0.7967479797073093}","{'0': 55.09579256742036, '1': 13.452936068398182}",0.3034044689747677,0.051759104237650594,
1768194531.46703,"{'1': 2, '0': 0}","{'0': 2.122837676472259, '1': 0.7717479797073092}","{'0': 63.330746692792104, '1': 11.874552944568888}",0.19223391607384674,0.05799935015189592,
1768194536.1347375,"{'1': 11, '0': 7}","{'0': 2.0978376764722593, '1': 0.7717479797073092}","{'0': 56.150079611572956, '1': 11.669458334311198}",0.4078806178233519,0.06578080732044679,
1768194540.2640631,"{'1': 6, '0': 14}","{'0': 2.033163083993153, '1': 0.8068164022664581}","{'0': 67.29521216441267, '1': 15.098234555578475}",0.18724735267307,0.054029362003059876,
1768194543.8354013,"{'1': 2, '0': 0}","{'0': 2.0265406506163752, '1': 0.8098906688625276}","{'0': 64.28548858076205, '1': 14.478328556343683}",0.23558001447908083,0.05178919916136711,
1768194548.2806718,"{'1': 9, '0': 22}","{'0': 2.041024399870744, '1': 0.7424355641213055}","{'0': 62.21001565870116, '1': 12.616760370529692}",0.1581814427949806,0.0461405031201393,
1768194551.5912201,"{'1': 0, '0': 0}","{'0': 2.091925479368282, '1': 0.7313241091768292}","{'0': 54.75695759814351, '1': 12.63762318195366}",0.5166558930655746,0.10747989748735756,
1768194555.9238403,"{'1': 4, '0': 2}","{'0': 2.0877897598344246, '1': 0.7313241091768292}","{'0': 59.89189709815675, '1': 18.86473090905669}",0.2607462252435512,0.08246415338583413,
1768194559.3458562,"{'1': 2, '0': 1}","{'0': 2.0877897598344246, '1': 0.6963208491797289}","{'0': 66.52483360276003, '1': 14.249249492715737}",0.1592422689053084,0.030367370347710476,
1768194563.7472053,"{'1': 4, '0': 0}","{'0': 2.0627897598344247, '1': 0.7598256562094485}","{'0': 61.069565605889565, '1': 15.71092933103953}",0.20021838141904166,0.037108510910458005,
1768194567.0780573,"{'1': 5, '0': 8}","{'0': 2.086599976794938, '1': 0.7598256562094485}","{'0': 61.01083144715045, '1': 16.061988881555454}",0.22605053262071778,0.021854358497460962,
1768194571.4476652,"{'1': 3, '0': 3}","{'0': 1.9903704378377034, '1': 0.7578972832466366}","{'0': 55.80822441413675, '1': 13.71781725575691}",0.31121585974945976,0.10436639628776448,
1768194574.8311396,"{'1': 18, '0': 34}","{'0': 1.9653704378377035, '1': 0.7966777708535184}","{'0': 45.7551795134191, '1': 15.076860590862807}",0.2657681488334939,0.3179328561788952,
1768194578.6922426,"{'1': 2, '0': 6}","{'0': 2.065370437837703, '1': 0.7216777708535184}","{'0': 65.65056976647855, '1': 12.765300016305115}",0.24168156409018982,0.03039606927901147,
1768194582.866708,"{'1': 1, '0': 0}","{'0': 2.0475463216433636, '1': 0.7173178447616604}","{'0': 69.87157996456986, '1': 10.87893380305127}",0.45054112302934873,0.1367840475462942,
1768194587.151625,"{'1': 4, '0': 5}","{'0': 1.9791524063566541, '1': 0.7304329559800524}","{'0': 61.92444590079009, '1': 14.541364228386552}",0.1701091843373468,0.01797419937004455,
1768194590.77462,"{'1': 8, '0': 19}","{'0': 1.9147822712014162, '1': 0.7802597518494812}","{'0': 63.77426253675647, '1': 18.535061770755206}",0.24528677540145807,0.02393185348179822,
1768194594.2294736,"{'1': 13, '0': 28}","{'0': 1.9402160280592637, '1': 0.7907922521491483}","{'0': 50.76600910544292, '1': 14.872571563775601}",0.2742504940667117,0.28020443646538556,
1768194597.512624,"{'1': 2, '0': 4}","{'0': 1.9824137094161411, '1': 0.7975113966447029}","{'0': 55.739411294503086, '1': 12.187940360750103}",0.32950103525310787,0.02044938680161586,
1768194602.055518,"{'1': 5, '0': 9}","{'0': 1.9574137094161412, '1': 0.9049097345135659}","{'0': 54.295825053589375, '1': 17.3214763486941}",0.15970990155841908,0.025815012578384512,
1768194606.5906627,"{'1': 2, '0': 4}","{'0': 2.032413709416141, '1': 0.950765727745448}","{'0': 55.01951186557802, '1': 16.760540449991364}",0.32983620778976014,0.11950244014760192,
1768194609.714084,"{'1': 2, '0': 0}","{'0': 2.032413709416141, '1': 0.9570824975576523}","{'0': 73.50015642842045, '1': 15.497022551176753}",0.19411907627357644,0.030152755525025037,
1768194614.141757,"{'1': 3, '0': 1}","{'0': 2.1074137094161407, '1': 0.9320824975576523}","{'0': 58.40374954137698, '1': 15.218901453010218}",0.27381112484556236,0.09056974855449805,
1768194617.5107188,"{'1': 2, '0': 0}","{'0': 2.0267265543567414, '1': 1.026263497682907}","{'0': 57.113999382109895, '1': 15.798901878188566}",0.3112027863756733,0.04100574438358611,
1768194621.9274662,"{'1': 7, '0': 14}","{'0': 1.9767265543567416, '1': 0.9853494067700882}","{'0': 60.76586955254136, '1': 17.15940246674335}",0.1900983835892788,0.04965904008243854,
1768194625.3780456,"{'1': 0, '0': 0}","{'0': 1.97624051609766, '1': 0.9307357308912503}","{'0': 55.42402403564505, '1': 17.978715561693615}",0.346054863243042,0.05241130015851309,
